CID,BDATE,GEN
NASAW00011000,19711006,Male
NASAW00011001,19760510,Male
NASAW00011002,19710209,Male
NASAW00011003,19730814,Female
NASAW00011004,19790805,Female
NASAW00011005,19760801,Male
NASAW00011006,19761202,Female
NASAW00011007,19691106,Male
NASAW00011008,19750704,Female
NASAW00011009,19690929,Male
NASAW00011010,19690805,Female
NASAW00011011,19690503,Male
NASAW00011012,19790114,Female
NASAW00011013,19790803,Male
NASAW00011014,19731106,Female
NASAW00011015,19840826,Female
NASAW00011016,19841025,Male
NASAW00011017,19491224,Female
NASAW00011018,19551006,Male
NASAW00011019,19830904,Male
NASAW00011020,19840319,Male
NASAW00011021,19840302,Female
NASAW00011022,19840410,Female
NASAW00011023,19840409,Female
NASAW00011024,19840316,Female
NASAW00011025,19510622,Female
NASAW00011026,19511001,Female
NASAW00011027,19520605,Female
NASAW00011028,19511009,Female
NASAW00011029,19520619,Female
NASAW00011030,19580218,Female
NASAW00011031,19530218,Female
NASAW00011032,19521208,Female
NASAW00011033,19580919,Female
NASAW00011034,19521216,Female
NASAW00011035,19530823,Female
NASAW00011036,19840616,Female
NASAW00011037,19830527,Female
NASAW00011038,19530920,Female
NASAW00011039,19540616,  
NASAW00011040,19830129, 
NASAW00011041,19830415, 
NASAW00011042,19821211,Female
NASAW00011043,19810823,Female
NASAW00011044,19541121,Female
NASAW00011045,19551116,Female
NASAW00011046,19550919,Female
NASAW00011047,19550827,Female
NASAW00011048,19560521,Female
NASAW00011049,19860115,Female
NASAW00011050,19570306,Female
NASAW00011051,19570131,Female
NASAW00011052,19570203,Female
NASAW00011053,19860217,Female
NASAW00011054,19570907,Female
NASAW00011055,19570902,M 
NASAW00011056,19581001,F 
NASAW00011057,19700407,Female
NASAW00011058,19650423,Female
NASAW00011059,19590929,Female
NASAW00011060,19590914,Female
NASAW00011061,19760220,Male
NASAW00011062,19810301,Male
NASAW00011063,19801004,Female
NASAW00011064,19810605,Male
NASAW00011065,19790408,Female
NASAW00011066,19790527,Female
NASAW00011067,19820325,Male
NASAW00011068,19660919,Female
NASAW00011069,19660917,Female
NASAW00011070,19601002,Male
NASAW00011071,19601223,Female
NASAW00011072,19600805,Female
NASAW00011073,19620211,Female
NASAW00011074,19620225,Male
NASAW00011075,19630516,Female
NASAW00011076,19630110,Male
NASAW00011077,19630319,Female
NASAW00011078,19850106,Female
NASAW00011079,19700307,Male
NASAW00011080,19650113,Male
NASAW00011081,19720121,Female
NASAW00011082,19720201,Female
NASAW00011083,19770311,Female
NASAW00011084,19630312,Male
NASAW00011085,19630116,Female
NASAW00011086,19630622,Male
NASAW00011087,19630402,Female
NASAW00011088,19630525,Male
NASAW00011089,19620805,Female
NASAW00011090,19681213,Male
NASAW00011091,19621002,Male
NASAW00011092,19721102,Female
NASAW00011093,19780906,Female
NASAW00011094,19670929,Male
NASAW00011095,19680229,Male
NASAW00011096,19680207,Male
NASAW00011097,19721023,Male
NASAW00011098,19661029,Female
NASAW00011099,19660905,Male
NASAW00011100,19660315,Female
NASAW00011101,19701105,Female
NASAW00011102,19701019,Female
NASAW00011103,19810412,Female
NASAW00011104,19750308,Male
NASAW00011105,19700627,Female
NASAW00011106,19700311,Male
NASAW00011107,19760304,Female
NASAW00011108,19690110,Female
NASAW00011109,19800430,Male
NASAW00011110,19671204,Male
NASAW00011111,19670823,Female
NASAW00011112,19680308,Female
NASAW00011113,19730217,Male
NASAW00011114,19671125,Female
NASAW00011115,19670812,Male
NASAW00011116,19790402,Male
NASAW00011117,19660821,Female
NASAW00011118,19621231,Male
NASAW00011119,19401007,Male
NASAW00011120,19420206,Female
NASAW00011121,19660518,Male
NASAW00011122,19650930,Male
NASAW00011123,19651218,Male
NASAW00011124,19680723,Male
NASAW00011125,19611006,Female
NASAW00011126,19541005,Male
NASAW00011127,19810419,Female
NASAW00011128,19810603,Female
NASAW00011129,19810201,Female
NASAW00011130,19850705,Female
NASAW00011131,19850909,Female
NASAW00011132,19860425,Female
NASAW00011133,19860308,Female
NASAW00011134,19570222,Male
NASAW00011135,19850502,Male
NASAW00011136,19840424,Female
NASAW00011137,19840117,Female
NASAW00011138,19840314,Female
NASAW00011139,19491105,Female
NASAW00011140,19820811,Male
NASAW00011141,19821219,F
NASAW00011142,19830211,M
NASAW00011143,19820804,Male
NASAW00011144,19850308,Male
NASAW00011145,19850606,Female
NASAW00011146,19450222,Female
NASAW00011147,19440804,Male
NASAW00011148,19470213,Male
NASAW00011149,19461018,Male
NASAW00011150,19460912,Male
NASAW00011151,19470825,Female
NASAW00011152,19810709,Male
NASAW00011153,19811221,Female
NASAW00011154,19820218,Female
NASAW00011155,19810725,Male
NASAW00011156,19810806,Female
NASAW00011157,19801208,Female
NASAW00011158,19810406,Male
NASAW00011159,19810316,Female
NASAW00011160,19790708,Male
NASAW00011161,19791020,Female
NASAW00011162,19790902,Male
NASAW00011163,19800618,Male
NASAW00011164,19791102,Male
NASAW00011165,19790115,Female
NASAW00011166,19771022,Female
NASAW00011167,19780129,Female
NASAW00011168,19731112,Male
NASAW00011169,19731220,Male
NASAW00011170,19730804,Female
NASAW00011171,19781005,Male
NASAW00011172,19730520,Female
NASAW00011173,19730228,Female
NASAW00011174,19730109,Male
NASAW00011175,19680901,Male
NASAW00011176,19790121,Male
NASAW00011177,19480101,Male
NASAW00011178,19540820,Male
NASAW00011179,19591208,Female
NASAW00011180,19480701,Female
NASAW00011181,19600201,Male
NASAW00011182,19500222,Female
NASAW00011183,19500112,Female
NASAW00011184,19551113,Female
NASAW00011185,19500407,Female
NASAW00011186,19491118,Female
NASAW00011187,19490821,Female
NASAW00011188,19500306,Female
NASAW00011189,19500112,Male
NASAW00011190,19491220,Male
NASAW00011191,19510617,Female
NASAW00011192,19510313,Male
NASAW00011193,19500813,Male
NASAW00011194,19501208,Female
NASAW00011195,19510810,Female
NASAW00011196,19511205,Male
NASAW00011197,19511216,Female
NASAW00011198,19520525,Female
NASAW00011199,19571102,Female
NASAW00011200,19530521,Male
NASAW00011201,19530214,Female
NASAW00011202,19580822,Female
NASAW00011203,19590818,Male
NASAW00011204,19531129,Female
NASAW00011205,19540121,Female
NASAW00011206,19540324,Male
NASAW00011207,19540116,Female
NASAW00011208,19530803,Female
NASAW00011209,19530712,Female
NASAW00011210,19531206,Male
NASAW00011211,19601008,Female
NASAW00011212,19550505,Female
NASAW00011213,19541111,Female
NASAW00011214,19550507,Male
NASAW00011215,19610617,Female
NASAW00011216,19551117,Female
NASAW00011217,19550811,Female
NASAW00011218,19610907,Female
NASAW00011219,19560531,Male
NASAW00011220,19610219,Female
NASAW00011221,19551208,Male
NASAW00011222,19560214,Female
NASAW00011223,19570315,Female
NASAW00011224,19570305,Female
NASAW00011225,19620212,Female
NASAW00011226,19620923,Female
NASAW00011227,19620808,Male
NASAW00011228,19561016,Female
NASAW00011229,19570601,Male
NASAW00011230,19560930,Female
NASAW00011231,19631111,Male
NASAW00011232,19580327,Female
NASAW00011233,19630906,Male
NASAW00011234,19580519,Female
NASAW00011235,19570807,Male
NASAW00011236,19570902,Male
NASAW00011237,19640322,Male
NASAW00011238,19640207,Female
NASAW00011239,19691002,Female
NASAW00011240,19640609,Female
NASAW00011241,19740406,Female
NASAW00011242,19630511,Male
NASAW00011243,19630408,Female
NASAW00011244,19681122,Female
NASAW00011245,19620426,Male
NASAW00011246,19620408,Female
NASAW00011247,19611204,Female
NASAW00011248,19660322,Male
NASAW00011249,19660709,Female
NASAW00011250,19660308,Female
NASAW00011251,19380101,Male
NASAW00011252,19371205,Male
NASAW00011253,19490824,Male
NASAW00011254,19380831,Male
NASAW00011255,19381002,Male
NASAW00011256,19390320,Female
NASAW00011257,20500706,Female
NASAW00011258,19381226,Male
NASAW00011259,19700924,Female
NASAW00011260,19760408,Female
NASAW00011261,19701022,Female
NASAW00011262,19750501,Female
NASAW00011263,19700311,Female
NASAW00011264,19691215,Male
NASAW00011265,19700110,Female
NASAW00011266,19691102,Female
NASAW00011267,19750929,Male
NASAW00011268,19691031,Female
NASAW00011269,19751010,Male
NASAW00011270,19750501,Male
NASAW00011271,19691203,Female
NASAW00011272,19620510,Female
NASAW00011273,19620331,Male
NASAW00011274,19391010,Male
NASAW00011275,19390718,Female
NASAW00011276,19740915,Female
NASAW00011277,19681207,Male
NASAW00011278,19690216,Male
NASAW00011279,19740908,Female
NASAW00011280,19690217,Male
NASAW00011281,19741006,Female
NASAW00011282,19670716,Male
NASAW00011283,19680424,Male
NASAW00011284,19670924,Female
NASAW00011285,19730315,Male
NASAW00011286,19670831,Male
NASAW00011287,19660716,Male
NASAW00011288,19780312,Female
NASAW00011289,19720303,Female
NASAW00011290,19720814,Female
NASAW00011291,19720501,Female
NASAW00011292,19670505,Male
NASAW00011293,19601123,Male
NASAW00011294,19610302,Male
NASAW00011295,19591113,Female
NASAW00011296,19410405,Female
NASAW00011297,19400801,Male
NASAW00011298,19400830,Male
NASAW00011299,19410929,Male
NASAW00011300,19650831,Male
NASAW00011301,19651207,Male
NASAW00011302,19711209,Male
NASAW00011303,19660410,Female
NASAW00011304,19710314,Female
NASAW00011305,19651217,Male
NASAW00011306,19651220,Male
NASAW00011307,19651031,Male
NASAW00011308,19590902,Male
NASAW00011309,19591210,Female
NASAW00011310,19640705,Female
NASAW00011311,19590221,Female
NASAW00011312,19581001,Female
NASAW00011313,19580827,Male
NASAW00011314,19700616,Female
NASAW00011315,19590331,Female
NASAW00011316,19590517,Male
NASAW00011317,19630914,Female
NASAW00011318,19580425,Female
NASAW00011319,19480423,Female
NASAW00011320,19421224,Female
NASAW00011321,19440105,Male
NASAW00011322,19430912,Female
NASAW00011323,19431218,Male
NASAW00011324,19441110,Male
NASAW00011325,19441229,Male
NASAW00011326,19441223,Male
NASAW00011327,19450901,Male
NASAW00011328,19450630,Male
NASAW00011329,19460122,Male
NASAW00011330,19451110,Male
NASAW00011331,19740103,Female
NASAW00011332,19680402,Female
NASAW00011333,19680107,Female
NASAW00011334,19660919,Female
NASAW00011335,19771218,Female
NASAW00011336,19730308,Male
NASAW00011337,19670321,Male
NASAW00011338,19720806,Male
NASAW00011339,19670105,Male
NASAW00011340,19470403,Female
NASAW00011341,19420218,Male
NASAW00011342,19730307,Male
NASAW00011343,19750309,Male
NASAW00011344,19630121,Female
NASAW00011345,19620909,Female
NASAW00011346,19660518,Female
NASAW00011347,19720617,Male
NASAW00011348,19610321,Male
NASAW00011349,19650830,Female
NASAW00011350,19420714,Female
NASAW00011351,19500402,Female
NASAW00011352,19450904,Male
NASAW00011353,19461209,Female
NASAW00011354,19470823,Female
NASAW00011355,19480626,Male
NASAW00011356,19851124,Male
NASAW00011357,19840919,Male
NASAW00011358,19840510,Female
NASAW00011359,19840303,Male
NASAW00011360,19840130,Male
NASAW00011361,19821026,Female
NASAW00011362,19830511,Male
NASAW00011363,19830419,Male
NASAW00011364,19850322,Female
NASAW00011365,19841206,Female
NASAW00011366,19850423,Female
NASAW00011367,19840821,Male
NASAW00011368,19840524,Male
NASAW00011369,19840201,Female
NASAW00011370,19830929,Female
NASAW00011371,19831124,Female
NASAW00011372,19831112,Female
NASAW00011373,19540916,Female
NASAW00011374,19481225,Male
NASAW00011375,19481105,Male
NASAW00011376,19481207,Male
NASAW00011377,19660823,Male
NASAW00011378,19651119,Female
NASAW00011379,19760513,Male
NASAW00011380,19640829,Male
NASAW00011381,19700818,Female
NASAW00011382,19740715,Male
NASAW00011383,19660225,Female
NASAW00011384,19711013,Female
NASAW00011385,19710808,Male
NASAW00011386,19711102,Female
NASAW00011387,19641129,Female
NASAW00011388,19650120,Male
NASAW00011389,19810420,Male
NASAW00011390,19760417,Female
NASAW00011391,19760625,Female
NASAW00011392,19810203,Male
NASAW00011393,19740717,Male
NASAW00011394,19750422,Male
NASAW00011395,19760416,Female
NASAW00011396,19750404,Male
NASAW00011397,19741202,Female
NASAW00011398,19750309,Male
NASAW00011399,19750201,Female
NASAW00011400,19800415,Male
NASAW00011401,19750223,Female
NASAW00011402,19750520,Female
NASAW00011403,19800106,Female
NASAW00011404,19570630,Female
NASAW00011405,19570816,Female
NASAW00011406,19571231,Female
NASAW00011407,19570930,Male
NASAW00011408,19640510,Male
NASAW00011409,19790302,Female
NASAW00011410,20420222,Male
NASAW00011411,19590812,Male
NASAW00011412,19591007,Female
NASAW00011413,19591013,Female
NASAW00011414,19590915,Male
NASAW00011415,19491203,Male
NASAW00011416,19500916,Female
NASAW00011417,19500826,Female
NASAW00011418,19500809,Male
NASAW00011419,19500818,Male
NASAW00011420,19520109,Male
NASAW00011421,19520116,Female
NASAW00011422,19520229,Male
NASAW00011423,19600504,Female
NASAW00011424,19641203,Female
NASAW00011425,19650802,Female
NASAW00011426,19590401,Male
NASAW00011427,19590617,Female
NASAW00011428,19590219,Female
NASAW00011429,19580113,Male
NASAW00011430,19570921,Female
NASAW00011431,19741020,Male
NASAW00011432,19570310,Female
NASAW00011433,19570301,Male
NASAW00011434,19620502,Male
NASAW00011435,19550903,Female
NASAW00011436,19560317,Female
NASAW00011437,19550616,Male
NASAW00011438,19550413,Female
NASAW00011439,19531114,Female
NASAW00011440,19530326,Male
NASAW00011441,19521209,Female
NASAW00011442,19530513,Male
NASAW00011443,19811119,Female
NASAW00011444,19811026,Female
NASAW00011445,19800118,Female
NASAW00011446,19800209,Female
NASAW00011447,19800213,Female
NASAW00011448,19801025,Male
NASAW00011449,19800801,Male
NASAW00011450,19810511,Male
NASAW00011451,19800508,Male
NASAW00011452,19790505,Female
NASAW00011453,19840817,Male
NASAW00011454,19791020,Female
NASAW00011455,19791019,Male
NASAW00011456,19800105,Male
NASAW00011457,19781118,Female
NASAW00011458,19781003,Female
NASAW00011459,19780412,Female
NASAW00011460,19831004,Male
NASAW00011461,19770922,Male
NASAW00011462,19770718,Female
NASAW00011463,19770909,Female
NASAW00011464,19770515,Male
NASAW00011465,19760818,Male
NASAW00011466,19770130,Male
NASAW00011467,19750406,Male
NASAW00011468,19801215,Female
NASAW00011469,19781014,Male
NASAW00011470,19790325,Male
NASAW00011471,19790325,Female
NASAW00011472,19680930,Male
NASAW00011473,19860130,Female
NASAW00011474,19850821,Male
NASAW00011475,19840407,Male
NASAW00011476,19800516,Female
NASAW00011477,19840621,Male
NASAW00011478,19840222,Male
NASAW00011479,19781020,Male
NASAW00011480,19840307,Female
NASAW00011481,19781120,Female
NASAW00011482,19780116,Female
NASAW00011483,19830519,Male
NASAW00011484,19830303,Male
NASAW00011485,19780204,Male
NASAW00011486,19820521,Female
NASAW00011487,19770105,Female
NASAW00011488,19770320,Male
NASAW00011489,19760903,Female
NASAW00011490,19760705,Male
NASAW00011491,19820402,Male
NASAW00011492,19821115,Male
NASAW00011493,19760531,Female
NASAW00011494,19760125,Male
NASAW00011495,19770303,Male
NASAW00011496,19760415,Male
NASAW00011497,19811122,Female
NASAW00011498,19790715,Male
NASAW00011499,19800513,Male
NASAW00011500,19800317,Female
NASAW00011501,19810103,Female
NASAW00011502,19800903,Male
NASAW00011503,19360411,Male
NASAW00011504,19361017,Female
NASAW00011505,19720104,Female
NASAW00011506,19711114,Male
NASAW00011507,19720519,Female
NASAW00011508,19720104,Female
NASAW00011509,19640722,Female
NASAW00011510,19590110,Male
NASAW00011511,19640610,Male
NASAW00011512,19760805,Female
NASAW00011513,19650923,Female
NASAW00011514,19650416,Male
NASAW00011515,19590825,Female
NASAW00011516,19761013,Female
NASAW00011517,19591218,Female
NASAW00011518,19601106,Male
NASAW00011519,19600913,Male
NASAW00011520,19601008,Female
NASAW00011521,19771201,Female
NASAW00011522,19720617,Male
NASAW00011523,19620207,Male
NASAW00011524,19610722,Female
NASAW00011525,19610708,Female
NASAW00011526,19730130,Female
NASAW00011527,19611202,Female
NASAW00011528,19680815,Female
NASAW00011529,19630516,Male
NASAW00011530,19630123,Male
NASAW00011531,19620707,Female
